Name,Count_doggos,Count_babies,Per_100k_doggos,Per_100k_babies
CHLOE,218,2046,1101.9562250417025,604.3741802842862
CHRIS,3,222,15.164535206995906,65.577257098295
CHRISTIAN,1,1601,5.0548450689986355,472.924273037704
CHRISTINA,2,310,10.109690137997271,91.57184549761914
CHRISTINE,1,50,5.0548450689986355,14.769652499615988
CHRISTOPHER,3,2018,15.164535206995906,596.1031748845013
CHRISTY,2,12,10.109690137997271,3.5447165999078374
CINDY,17,135,85.9323661729768,39.87806174896317
CLAIRE,8,447,40.438760551989084,132.04069334656694
CLARA,14,256,70.76783096598089,75.62062079803387
CLARK,15,13,75.82267603497952,3.8401096499001572
CLAUDIA,2,16,10.109690137997271,4.726288799877117
CLEMENTINE,21,32,106.15174644897134,9.452577599754234
CLEO,31,10,156.7001971389577,2.9539304999231977
CODY,114,41,576.2523378658444,12.111115049685111
COLE,7,173,35.383915482990446,51.10299764867132
COLETTE,3,97,15.164535206995906,28.65312584925502
COLIN,7,247,35.383915482990446,72.96208334810298
CONNIE,6,25,30.32907041399181,7.384826249807994
CONNOR,7,465,35.383915482990446,137.3577682464287
CONOR,3,83,15.164535206995906,24.517623149362542
COOPER,211,191,1066.572309558712,56.42007254853308
CORA,15,121,75.82267603497952,35.74255904907069
COREY,3,32,15.164535206995906,9.452577599754234
CROSBY,14,11,70.76783096598089,3.2493235499155175
CRYSTAL,7,166,35.383915482990446,49.035246298725085
CYRUS,9,36,45.493605620987715,10.634149799723511
DAHLIA,3,84,15.164535206995906,24.813016199354863
DAISY,278,173,1405.2469291816205,51.10299764867132
DAKOTA,53,75,267.9067886569277,22.154478749423983
DALIA,3,45,15.164535206995906,13.29268724965439
DALLAS,34,12,171.8647323459536,3.5447165999078374
DAMIAN,1,306,5.0548450689986355,90.39027329764986
DAMIEN,2,86,10.109690137997271,25.4038022993395
DAMON,3,49,15.164535206995906,14.47425944962367
DANA,3,32,15.164535206995906,9.452577599754234
DANIEL,3,3463,15.164535206995906,1022.9461321234033
DANNY,14,159,70.76783096598089,46.96749494877884
DANTE,23,113,116.26143658696861,33.37941464913214
DAPHNE,18,97,90.98721124197543,28.65312584925502
DARREN,1,180,5.0548450689986355,53.17074899861756
DARWIN,9,92,45.493605620987715,27.17616059929342
DASHIELL,1,22,5.0548450689986355,6.498647099831035
DAVID,6,3239,30.32907041399181,956.7780889251238
DEAN,9,198,45.493605620987715,58.48782389847932
DEBORAH,1,10,5.0548450689986355,2.9539304999231977
DECLAN,1,223,5.0548450689986355,65.8726501482873
DELILAH,41,241,207.24864782894403,71.18972504814907
DENIS,1,10,5.0548450689986355,2.9539304999231977
DENISE,1,26,5.0548450689986355,7.6802192998003145
DENNIS,2,48,10.109690137997271,14.17886639963135
DENZEL,4,28,20.219380275994542,8.271005399784954
DEREK,3,499,15.164535206995906,147.40113194616757
DERRICK,1,53,5.0548450689986355,15.65583164959295
